id,title,subtitle,lat,lng,teaserUrl,category,category_ger,pic_url,loc_admin1,loc_admin2,click,dest_id,dest_name,loc_name,equal to dest,ok
idsbbebae89,Bernina Express.,Bernina Express.,46.49789004,9.84561682,/content/internet/plc/leisure-holidays/de/tagesausflug/bernina-express.mapteaser.html,SBB_lh_rail_boat,Bahn_&_Schiff,/content/dam/internet/upload/raw/images/keyvisual_berninaexpress.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Grisons,Maloja District,"{'lat': 46.49789004, 'lng': 9.84561682}",8711796,Saint-Phal Monument aux Morts,Saint Moritz,FALSE,n
idsbb4c343d,Aarefahrt Solothurn – Biel/Bienne.,Aarefahrt Solothurn – Biel/Bienne.,47.1181021,7.2564139,/content/internet/plc/leisure-holidays/de/tagesausflug/aarefahrt-solothurn-biel.mapteaser.html,SBB_lh_rail_boat,Bahn_&_Schiff,/content/dam/internet/upload/raw/images/AarefahrtSolothurnBiel.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Bern,Biel/Bienne District,"{'lat': 47.1181021, 'lng': 7.2564139}",8571207,"Bellmund, Dorf",Bellmund,FALSE,
idsbbc52507,Rheinschifffahrten mit Züri-Rhy.,Rheinschifffahrten mit Züri-Rhy.,47.5513911,8.5554316,/content/internet/plc/leisure-holidays/de/tagesausflug/tipp-rheinschifffahrten-zuri-rhy.mapteaser.html,SBB_lh_rail_boat,Bahn_&_Schiff,/content/dam/internet/upload/raw/images/RheinschifffahrtenZuriRhy.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Zurich,Bezirk Buelach,"{'lat': 47.5513911, 'lng': 8.5554316}",8557041,"Rorbas, Bruggi",Rorbas,FALSE,
idsbb5002df,GoldenPass MOB Belle Epoque.,GoldenPass MOB Belle Epoque.,46.55314264,7.37485707,/content/internet/plc/leisure-holidays/de/tagesausflug/goldenpass-mob-belle-epoque.mapteaser.html,SBB_lh_rail_boat,Bahn_&_Schiff,/content/dam/internet/upload/raw/images/goldenpass_belleepoque.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Bern,Obersimmental-Saanen District,"{'lat': 46.55314264, 'lng': 7.37485707}",8507290,Zweisimmen,Zweisimmen,TRUE,
idsbb0d1c7b,Sushi-Zug.,Sushi-Zug.,46.6050097,7.0091956,/content/internet/plc/leisure-holidays/de/tagesausflug/train-sushi.mapteaser.html,SBB_lh_rail_boat,Bahn_&_Schiff,/content/dam/internet/upload/raw/images/Train_Sushi.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Fribourg,Gruyere District,"{'lat': 46.6050097, 'lng': 7.0091956}",8504066,Vuadens-Sud,Vuadens,FALSE,
idsbb8daf45,Schynige Platte.,Schynige Platte.,46.6562,7.90694,/content/internet/plc/leisure-holidays/de/tagesausflug/schynige-platte.mapteaser.html,SBB_lh_rail_boat,Bahn_&_Schiff,/content/dam/internet/upload/raw/images/SchynigePlatte_ver.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Bern,Interlaken-Oberhasli District,"{'lat': 46.6562, 'lng': 7.90694}",8572359,"Boningen, Gsteigli",Bonigen,FALSE,
idsbbc5a6f3,Voralpen-Express.,Voralpen-Express.,47.0491116,8.5496516,/content/internet/plc/leisure-holidays/de/tagesausflug/voralpen-express1.mapteaser.html,SBB_lh_rail_boat,Bahn_&_Schiff,/content/dam/internet/upload/raw/images/Voralpen.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Schwyz,Bezirk Schwyz,"{'lat': 47.0491116, 'lng': 8.5496516}",8505062,Goldau A4,Goldau,FALSE,
idsbbdb5fa4,Bahnerlebnis Seelinie.,Bahnerlebnis Seelinie.,47.5657078,9.3771959,/content/internet/plc/leisure-holidays/de/tagesausflug/bahnerlebnis-seelinie/bahnerlebnis-seelinie-sommer.mapteaser.html,SBB_lh_rail_boat,Bahn_&_Schiff,/content/dam/internet/upload/raw/images/ErlebnisSeelinie.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Thurgau,Arbon District,"{'lat': 47.5657078, 'lng': 9.3771959}",8506121,Romanshorn,Romanshorn,TRUE,
idsbb0be6f5,GoldenPass MOB Panoramic.,GoldenPass MOB Panoramic.,46.43591972,6.91104412,/content/internet/plc/leisure-holidays/de/tagesausflug/goldenpass-mob-panoramic.mapteaser.html,SBB_lh_rail_boat,Bahn_&_Schiff,/content/dam/internet/upload/raw/images/goldenpass_mob_panoramic.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Vaud,Riviera-Pays-d'Enhaut District,"{'lat': 46.43591972, 'lng': 6.91104412}",8501300,Montreux,Montreux,TRUE,
idsbbad313e,Lago Maggiore Express.,Lago Maggiore Express.,46.07132518,8.71833801,/content/internet/plc/leisure-holidays/de/tagesausflug/lago-maggiore-express.mapteaser.html,SBB_lh_rail_boat,Bahn_&_Schiff,/content/dam/internet/upload/raw/images/lago_maggiore_express.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Lombardy,Provincia di Varese,"{'lat': 46.07132518, 'lng': 8.71833801}",8300239,Tronzano (I),Tronzano Lago Maggiore,FALSE,
idsbbe6353b,Historische Fahrten Davos–Filisur.,Historische Fahrten Davos–Filisur.,46.7947944,9.8181248,/content/internet/plc/leisure-holidays/de/tagesausflug/historische-fahrten-davosfilisur.mapteaser.html,SBB_lh_rail_boat,Bahn_&_Schiff,/content/dam/internet/upload/raw/images/keyvisual_historischefahrtendavosfilisur.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Grisons,Praettigau/Davos District,"{'lat': 46.7947944, 'lng': 9.8181248}",8509073,Davos Platz,Davos,FALSE,
idsbbbe1c81,Brissago Inseln.,Brissago Inseln.,46.1200663,8.7121456,/content/internet/plc/leisure-holidays/de/tagesausflug/brissago-inseln.mapteaser.html,SBB_lh_rail_boat,Bahn_&_Schiff,/content/dam/internet/upload/raw/images/Brissago_Inseln.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Ticino,Locarno District,"{'lat': 46.1200663, 'lng': 8.7121456}",8505524,Brissago NLM,Brissago,FALSE,
idsbb6fe52c,Erstklassiger Thuner- und Brienzersee.,Erstklassiger Thuner- und Brienzersee.,46.7541541,8.0316899,/content/internet/plc/leisure-holidays/de/tagesausflug/erstklassiger-thuner-und-brienzersee.mapteaser.html,SBB_lh_rail_boat,Bahn_&_Schiff,/content/dam/internet/upload/raw/images/ErstklassigerThunerundBrienzersee.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Bern,Interlaken-Oberhasli District,"{'lat': 46.7541541, 'lng': 8.0316899}",8508305,Brienz,Brienz,TRUE,
